s_m,x_m,y_m,z_ugr_m,radius_estimate_m,xy_method,geo_quality
1850.000,1753.072,401.192,,8304.223,closed_catmull_rom_through_station_anchors,GEO_D
1875.000,1778.068,401.655,,8323.873,closed_catmull_rom_through_station_anchors,GEO_D
1900.000,1803.065,402.043,,8337.300,closed_catmull_rom_through_station_anchors,GEO_D
1925.000,1828.063,402.356,,8346.836,closed_catmull_rom_through_station_anchors,GEO_D
1950.000,1853.062,402.594,,8343.029,closed_catmull_rom_through_station_anchors,GEO_D
1975.000,1878.061,402.757,,8330.896,closed_catmull_rom_through_station_anchors,GEO_D
2000.000,1903.061,402.845,,8310.606,closed_catmull_rom_through_station_anchors,GEO_D
2025.000,1928.061,402.858,,8282.340,closed_catmull_rom_through_station_anchors,GEO_D
2050.000,1953.061,402.796,,8245.860,closed_catmull_rom_through_station_anchors,GEO_D
2075.000,1978.061,402.658,,8196.744,closed_catmull_rom_through_station_anchors,GEO_D
2100.000,2003.060,402.443,,8150.593,closed_catmull_rom_through_station_anchors,GEO_D
2125.000,2028.058,402.152,,8092.596,closed_catmull_rom_through_station_anchors,GEO_D
2150.000,2053.055,401.784,,8027.683,closed_catmull_rom_through_station_anchors,GEO_D
2175.000,2078.051,401.337,,7956.092,closed_catmull_rom_through_station_anchors,GEO_D
2200.000,2103.046,400.813,,7878.065,closed_catmull_rom_through_station_anchors,GEO_D
2225.000,2128.038,400.209,,7785.028,closed_catmull_rom_through_station_anchors,GEO_D
2250.000,2153.029,399.524,,7703.102,closed_catmull_rom_through_station_anchors,GEO_D
2275.000,2178.017,398.759,,7607.817,closed_catmull_rom_through_station_anchors,GEO_D
2300.000,2203.003,397.911,,7506.721,closed_catmull_rom_through_station_anchors,GEO_D
2325.000,2227.986,396.981,,7400.476,closed_catmull_rom_through_station_anchors,GEO_D
2350.000,2252.965,395.965,,7286.061,closed_catmull_rom_through_station_anchors,GEO_D
2375.000,2277.941,394.865,,7170.543,closed_catmull_rom_through_station_anchors,GEO_D
2400.000,2302.912,393.677,,7054.227,closed_catmull_rom_through_station_anchors,GEO_D
2425.000,2327.880,392.400,,6930.236,closed_catmull_rom_through_station_anchors,GEO_D
2450.000,2352.842,391.034,,6802.456,closed_catmull_rom_through_station_anchors,GEO_D
2475.000,2377.800,389.576,,6671.163,closed_catmull_rom_through_station_anchors,GEO_D
