y_m,z_m
0.000000000,0.152000000
0.010027050,0.151899448
0.014319965,0.151697881
0.018595862,0.151266070
0.022842400,0.150605262
0.025000507,0.150041179
0.027051101,0.149163295
0.028948836,0.147991024
0.030651745,0.146550289
0.032122170,0.144872950
0.033327595,0.142996100
0.034241362,0.140961242
0.034843266,0.138813377
0.035119996,0.136600000
0.035120000,0.136600000
0.035794808,0.123103832
0.035674798,0.121737653
0.035188115,0.120455471
0.034371377,0.119353752
0.033286028,0.118515380
0.032013725,0.118003431
0.017663287,0.114415822
0.016030030,0.113853744
0.014517860,0.113018997
0.013171893,0.111936486
0.012032284,0.110638506
0.011133033,0.109163784
0.010500969,0.107556316
0.010154949,0.105864060
0.009212746,0.096550204
0.008539184,0.087213076
0.008134824,0.077860421
0.008000000,0.068500000
0.008142188,0.058524466
0.008568636,0.048557036
0.009278998,0.038605811
0.009702594,0.035884537
0.010496011,0.033247256
0.011644203,0.030743974
0.013125398,0.028422159
0.014911511,0.026325837
0.016968673,0.024494759
0.019257876,0.022963644
0.021735713,0.021761527
0.024355200,0.020911200
0.061029857,0.011742536
0.062230474,0.011629751
0.063410144,0.011879913
0.064461649,0.012470284
0.065289421,0.013347207
0.065818225,0.014430982
0.066000000,0.015623106
0.066000000,0.002000000
0.065847759,0.001234633
0.065414214,0.000585786
0.064765367,0.000152241
0.064000000,0.000000000
0.000000000,0.000000000
-0.064000000,0.000000000
-0.064765367,0.000152241
-0.065414214,0.000585786
-0.065847759,0.001234633
-0.066000000,0.002000000
-0.066000000,0.015623106
-0.065818225,0.014430982
-0.065289421,0.013347207
-0.064461649,0.012470284
-0.063410144,0.011879913
-0.062230474,0.011629751
-0.061029857,0.011742536
-0.024355200,0.020911200
-0.021735713,0.021761527
-0.019257876,0.022963644
-0.016968673,0.024494759
-0.014911511,0.026325837
-0.013125398,0.028422159
-0.011644203,0.030743974
-0.010496011,0.033247256
-0.009702594,0.035884537
-0.009278998,0.038605811
-0.008568636,0.048557036
-0.008142188,0.058524466
-0.008000000,0.068500000
-0.008134824,0.077860421
-0.008539184,0.087213076
-0.009212746,0.096550204
-0.010154949,0.105864060
-0.010500969,0.107556316
-0.011133033,0.109163784
-0.012032284,0.110638506
-0.013171893,0.111936486
-0.014517860,0.113018997
-0.016030030,0.113853744
-0.017663287,0.114415822
-0.032013725,0.118003431
-0.033286028,0.118515380
-0.034371377,0.119353752
-0.035188115,0.120455471
-0.035674798,0.121737653
-0.035794808,0.123103832
-0.035120000,0.136600000
-0.035119996,0.136600000
-0.034843266,0.138813377
-0.034241362,0.140961242
-0.033327595,0.142996100
-0.032122170,0.144872950
-0.030651745,0.146550289
-0.028948836,0.147991024
-0.027051101,0.149163295
-0.025000507,0.150041179
-0.022842400,0.150605262
-0.018595862,0.151266070
-0.014319965,0.151697881
-0.010027050,0.151899448
